date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-12-13,CE,Granjeiro,city,197,2,True,4814,2304806,4092.23099,0.0102
2020-12-13,CE,Groaíras,city,806,14,True,11144,2304905,7232.59153,0.0174
2020-12-13,CE,Guaiúba,city,338,27,True,26290,2304954,1285.65995,0.0799
2020-12-13,CE,Guaraciaba do Norte,city,973,16,True,40784,2305001,2385.73951,0.0164
2020-12-13,CE,Guaramiranga,city,198,1,True,5132,2305100,3858.14497,0.0051
2020-12-13,CE,Hidrolândia,city,717,10,True,20053,2305209,3575.52486,0.0139
2020-12-13,CE,Horizonte,city,2626,82,True,68529,2305233,3831.95436,0.0312
2020-12-13,CE,Ibaretama,city,172,7,True,13369,2305266,1286.55846,0.0407
2020-12-13,CE,Ibiapina,city,857,14,True,25082,2305308,3416.79292,0.0163
2020-12-13,CE,Ibicuitinga,city,590,9,True,12629,2305332,4671.78716,0.0153
2020-12-13,CE,Icapuí,city,809,13,True,20060,2305357,4032.9013,0.0161
2020-12-13,CE,Icó,city,2600,41,True,68162,2305407,3814.44206,0.0158
2020-12-13,CE,Iguatu,city,4662,98,True,103074,2305506,4522.96408,0.021
2020-12-13,CE,Importados/Indefinidos,city,4789,0,True,,,,0.0
2020-12-13,CE,Independência,city,518,18,True,26187,2305605,1978.08073,0.0347
2020-12-13,CE,Ipaporanga,city,386,1,True,11596,2305654,3328.73405,0.0026
2020-12-13,CE,Ipaumirim,city,261,7,True,12485,2305704,2090.50861,0.0268
